,user_id,register_day,register_type,device_type
user_app_launch_register_mean_time,287
register_type_device,255
user_activity_register_mean_time,218
device_type_register,215
user_page_num,205
user_video_create_rate,187
user_video_create_var,160
user_activity_register_min_time,152
user_video_create_register_mean_time,138
user_action_type_num,110
user_video_create_register_max_time,107
user_video_create_register_min_time,86
user_video_create_day,59
user_video_create_gap,57
user_video_create_gap,13
the best params for lightgbm: 
colsample_bytree,0.8374859693146667
learning_rate,0.10843113403250997
max_bin,217
max_depth,7
min_child_samples,54
min_child_weight,0.5845877038005236
min_split_gain,0.0007403799808178663
n_estimators,1647
num_leaves,59
reg_alpha,42.19189174917856
reg_lambda,134.5454089242403
scale_pos_weight,0.9945653017011447
subsample,0.6208792365137432
the best score for lightgbm: ,0.7960015659199248,2018-06-03_01-12
feature importance of catboost for tencent-crt,2018-06-03_01-12
user_author_num,2041
device_type_rate,1827
user_app_launch_gap,1793
user_video_num,1786
user_activity_frequency,1723
user_app_launch_var,1642
user_activity_rate,1629
user_activity_var,1600
user_app_launch_rate,1320
user_activity_gap,1004
user_app_launch_register_max_time,831
user_app_launch_register_mean_time,766
register_type_rate,733
user_page_num,600
user_video_create_rate,560
user_activity_register_max_time,449
user_activity_register_mean_time,434
register_type_device,429
device_type_register,405
user_action_type_num,384
user_activity_day_rate,345
user_activity_register_min_time,333
user_video_create_var,167
user_video_create_register_mean_time,95
user_video_create_register_max_time,78
user_video_create_gap,45
user_video_create_register_min_time,38
user_video_create_day,31
user_video_create_gap,7
feature importance of catboost for tencent-crt ,2018-06-03_11-12
best score,0.8082966358908747,best params
depth,6
iterations,600
leaf_estimation_method,Gradient
learning_rate,0.01
user_app_launch_rate,24.31672494159181
user_activity_day_rate,11.382928126939778
user_app_launch_gap,7.4834468350638605
user_activity_rate,7.07193640710802
user_video_num,6.327795056368115
user_author_num,4.683796383331713
register_type_rate,4.6832765472810856
register_type_device,4.34920546222205
device_type_rate,3.7566725915215065
user_app_launch_register_max_time,3.309576280103392
user_activity_gap,3.087985792971611
device_type_register,2.7007597131761476
user_activity_frequency,2.409622741933649
user_activity_register_max_time,2.315419749985574
user_activity_var,2.134814698463254
user_app_launch_var,2.0406464894530836
user_app_launch_register_mean_time,1.7908640859506102
user_activity_register_mean_time,1.6729956232085945
user_page_num,1.128996912414035
user_video_create_rate,0.6465135544718864
user_activity_register_min_time,0.5646432089808959
user_action_type_num,0.512568911381774
user_video_create_register_max_time,0.41642061605392167
user_video_create_var,0.321928540507867
user_video_create_register_min_time,0.2872688245601974
user_video_create_register_mean_time,0.22338021133188873
user_video_create_day,0.17646621435577553
user_video_create_gap,0.10908398577337303
user_video_create_gap.1,0.09426149349452136
feature importance of catboost for tencent-crt ,2018-06-03_11-33
best score,0.7883742482238375,best params
boosting_type,gbdt
n_estimators,400
num_leaves,8
user_app_launch_rate,244
device_type_rate,205
user_app_launch_var,200
user_app_launch_gap,199
user_activity_day_rate,189
user_video_num,187
user_activity_rate,180
register_type_rate,152
user_author_num,150
user_app_launch_register_max_time,148
user_activity_register_max_time,102
user_activity_frequency,93
user_activity_var,91
register_type_device,91
user_app_launch_register_mean_time,85
user_page_num,72
device_type_register,64
user_activity_gap,53
user_activity_register_mean_time,52
user_video_create_register_mean_time,41
user_video_create_rate,39
user_video_create_register_max_time,34
user_action_type_num,31
user_activity_register_min_time,25
user_video_create_var,23
user_video_create_register_min_time,22
user_video_create_gap,14
user_video_create_day,13
user_video_create_gap,1
the best params for lightgbm: 
colsample_bytree,0.8153623374016841
learning_rate,0.9545385710097868
max_bin,157
max_depth,3
min_child_samples,185
min_child_weight,0.002356315256312229
min_split_gain,0.17762560339508499
n_estimators,1790
num_leaves,13
reg_alpha,50.85767508904185
reg_lambda,0.005181361096518697
scale_pos_weight,0.988698826093152
subsample,0.724633260259498
the best score for lightgbm: ,0.7873009789957516,2018-06-03_12-04
feature importance of catboost for tencent-crt,2018-06-03_12-04
user_app_launch_gap,544
device_type_rate,538
user_app_launch_var,501
user_video_num,456
user_activity_var,430
user_author_num,423
user_activity_rate,416
user_app_launch_rate,403
user_activity_frequency,391
user_activity_gap,267
user_app_launch_register_max_time,262
user_app_launch_register_mean_time,200
register_type_rate,169
user_activity_register_mean_time,162
user_activity_register_max_time,160
user_page_num,156
device_type_register,119
user_activity_day_rate,108
register_type_device,108
user_action_type_num,68
user_activity_register_min_time,65
user_video_create_rate,62
user_video_create_register_mean_time,24
user_video_create_register_min_time,19
user_video_create_register_max_time,19
user_video_create_var,10
user_video_create_gap,8
user_video_create_day,3
user_video_create_gap,2
feature importance of lgb for tencent-crt ,2018-06-03_13-54
best score,0.798625479914364,best params
boosting_type,gbdt
n_estimators,800
num_leaves,8
device_type_rate,420
user_app_launch_var,359
user_author_num,352
user_video_num,351
user_app_launch_gap,346
user_activity_rate,344
user_app_launch_rate,330
user_activity_var,325
user_activity_frequency,304
register_type_rate,246
user_activity_day_rate,231
user_app_launch_register_max_time,229
user_activity_gap,178
user_app_launch_register_mean_time,170
user_activity_register_max_time,146
device_type_register,143
user_page_num,136
user_activity_register_mean_time,125
register_type_device,124
user_video_create_var,114
user_video_create_frequency,107
user_activity_register_min_time,97
user_video_create_register_mean_time,91
user_video_create_rate,73
user_action_type_num,70
user_video_create_register_max_time,61
user_video_create_register_min_time,57
user_video_create_gap,36
user_video_create_day,35
the best params for lightgbm: 
colsample_bytree,0.6337712812292396
learning_rate,0.024768375659077205
max_bin,197
max_depth,3
min_child_samples,86
min_child_weight,0.0033786440919825207
min_split_gain,0.007677682243898074
n_estimators,1521
num_leaves,60
reg_alpha,0.9093255243124659
reg_lambda,0.5779245142481354
scale_pos_weight,0.9995224250387093
subsample,0.7524456347092807
the best score for lightgbm: ,0.7985961005794932,2018-06-03_15-31
feature importance of lgb for tencent-crt,2018-06-03_15-31
user_app_launch_rate,1359
user_activity_day_rate,1067
user_app_launch_gap,892
user_video_num,867
user_activity_rate,755
device_type_rate,636
register_type_rate,624
user_author_num,560
user_activity_var,489
user_app_launch_register_mean_time,444
user_app_launch_var,351
register_type_device,337
user_activity_gap,324
user_activity_frequency,309
user_app_launch_register_max_time,282
user_activity_register_max_time,263
device_type_register,225
user_page_num,182
user_activity_register_mean_time,157
user_video_create_rate,80
user_activity_register_min_time,77
user_video_create_register_mean_time,71
user_action_type_num,58
user_video_create_register_max_time,47
user_video_create_var,43
user_video_create_frequency,29
user_video_create_register_min_time,13
user_video_create_day,8
user_video_create_gap,3
feature importance of nn for kuaishou-crt ,2018-06-03_15-48
best score,0.7899495330496011,best params
batch_size,156
max_iter,800
solver,adam
feature importance of lgb for tencent-crt ,2018-06-03_18-22
best score,0.8012475182264563,best params
boosting_type,gbdt
n_estimators,800
num_leaves,8
device_type_rate,427
user_app_launch_gap,371
user_app_launch_var,363
user_activity_rate,363
user_activity_var,357
user_video_num,333
user_activity_frequency,323
user_author_num,318
user_app_launch_rate,318
user_app_launch_register_max_time,239
register_type_rate,239
user_activity_day_rate,202
user_page_num,165
user_app_launch_register_mean_time,162
user_activity_gap,158
register_type_device,156
device_type_register,137
user_activity_register_max_time,134
user_video_create_frequency,116
user_activity_register_mean_time,115
user_video_create_var,106
user_activity_register_min_time,92
